"Week","Game","TeamV","TeamH","ScoreV","ScoreH"
1,1,"DAL","TB",29,31
1,2,"SEA","IND",28,16
1,3,"JAX","HOU",21,37
1,4,"PHI","ATL",32,6
1,5,"LAC","WSH",20,16
1,6,"PIT","BUF",23,16
1,7,"SF","DET",41,33
1,8,"MIN","CIN",24,27
1,9,"NYJ","CAR",14,19
1,10,"ARI","TEN",38,13
1,11,"CLE","KC",29,33
1,12,"MIA","NE",17,16
1,13,"DEN","NYG",27,13
1,14,"GB","NO",3,38
1,15,"CHI","LAR",14,34
1,16,"BAL","LV",27,33
2,1,"NYG","WSH",29,30
2,2,"LV","PIT",26,17
2,3,"SF","PHI",17,11
2,4,"HOU","CLE",21,31
2,5,"DEN","JAX",23,13
2,6,"NO","CAR",7,26
2,7,"LAR","IND",27,24
2,8,"BUF","MIA",35,0
2,9,"NE","NYJ",25,6
2,10,"CIN","CHI",17,20
2,11,"ATL","TB",25,48
2,12,"MIN","ARI",33,34
2,13,"TEN","SEA",33,30
2,14,"DAL","LAC",20,17
2,15,"KC","BAL",35,36
2,16,"DET","GB",17,35
3,1,"CAR","HOU",24,9
3,2,"LAC","KC",30,24
3,3,"ARI","JAX",31,19
3,4,"CHI","CLE",6,26
3,5,"WSH","BUF",21,43
3,6,"IND","TEN",16,25
3,7,"NO","NE",28,13
3,8,"ATL","NYG",17,14
3,9,"CIN","PIT",24,10
3,10,"BAL","DET",19,17
3,11,"NYJ","DEN",0,26
3,12,"MIA","LV",28,31
3,13,"TB","LAR",24,34
3,14,"SEA","MIN",17,30
3,15,"GB","SF",30,28
3,16,"PHI","DAL",21,41
