Week,TeamH,TeamV,Dan,Lauren,Patrick,Claire,CC
1,ATL,MIN,,,,,
1,BAL,MIA,,,,,
1,BUF,NYJ,,,,,
1,CIN,SEA,,,,,
1,DEN,OAK,,,,,
1,DET,ARI,,,,,
1,GB,CHI,,,,,
1,HOU,NO,,,,,
1,IND,LAC,,,,,
1,KC,JAX,,,,,
1,LAR,CAR,,,,,
1,NYG,DAL,,,,,
1,PIT,NE,,,,,
1,SF,TB,,,,,
1,TEN,CLE,,,,,
1,WSH,PHI,,,,,
2,ARI,BAL,,,,,
2,BUF,NYG,,,,,
2,CHI,DEN,,,,,
2,CLE,NYJ,,,,,
2,DAL,WSH,,,,,
2,IND,TEN,,,,,
2,JAX,HOU,,,,,
2,KC,OAK,,,,,
2,LAC,DET,,,,,
2,MIN,GB,,,,,
2,NE,MIA,,,,,
2,NO,LAR,,,,,
2,PHI,ATL,,,,,
2,SF,CIN,,,,,
2,SEA,PIT,,,,,
2,TB,CAR,,,,,
3,ATL,IND,,,,,
3,BAL,KC,,,,,
3,CAR,ARI,,,,,
3,CHI,WSH,,,,,
3,CIN,BUF,,,,,
3,DEN,GB,,,,,
3,DET,PHI,,,,,
3,HOU,LAC,,,,,
3,LAR,CLE,,,,,
3,MIA,DAL,,,,,
3,NO,SEA,,,,,
3,NYG,TB,,,,,
3,NYJ,NE,,,,,
3,OAK,MIN,,,,,
3,PIT,SF,,,,,
3,TEN,JAX,,,,,
4,CAR,HOU,,,,,
4,CIN,PIT,,,,,
4,CLE,BAL,,,,,
4,DAL,NO,,,,,
4,JAX,DEN,,,,,
4,KC,DET,,,,,
4,LAC,MIA,,,,,
4,MIN,CHI,,,,,
4,NE,BUF,,,,,
4,OAK,IND,,,,,
4,PHI,GB,,,,,
4,SEA,ARI,,,,,
4,TB,LAR,,,,,
4,TEN,ATL,,,,,
4,WSH,NYG,,,,,
5,ARI,CIN,,,,,
5,ATL,HOU,,,,,
5,BAL,PIT,,,,,
5,BUF,TEN,,,,,
5,CHI,OAK,,,,,
5,CLE,SF,,,,,
5,DEN,LAC,,,,,
5,GB,DAL,,,,,
5,IND,KC,,,,,
5,JAX,CAR,,,,,
5,LAR,SEA,,,,,
5,MIN,NYG,,,,,
5,NE,WSH,,,,,
5,NYJ,PHI,,,,,
5,TB,NO,,,,,
6,ATL,ARI,,,,,
6,CAR,TB,,,,,
6,CIN,BAL,,,,,
6,DAL,NYJ,,,,,
6,DET,GB,,,,,
6,HOU,KC,,,,,
6,NO,JAX,,,,,
6,NYG,NE,,,,,
6,PHI,MIN,,,,,
6,PIT,LAC,,,,,
6,SF,LAR,,,,,
6,SEA,CLE,,,,,
6,TEN,DEN,,,,,
6,WSH,MIA,,,,,
7,ARI,NYG,,,,,
7,BAL,SEA,,,,,
7,HOU,IND,,,,,
7,JAX,CIN,,,,,
7,KC,DEN,,,,,
7,LAR,ATL,,,,,
7,LAC,TEN,,,,,
7,MIA,BUF,,,,,
7,MIN,DET,,,,,
7,NE,NYJ,,,,,
7,NO,CHI,,,,,
7,OAK,GB,,,,,
7,PHI,DAL,,,,,
7,SF,WSH,,,,,
8,ARI,NO,,,,,
8,CAR,SF,,,,,
8,CIN,LAR,,,,,
8,CLE,NE,,,,,
8,DEN,IND,,,,,
8,GB,KC,,,,,
8,LAC,CHI,,,,,
8,MIA,PIT,,,,,
8,NYG,DET,,,,,
8,NYJ,JAX,,,,,
8,OAK,HOU,,,,,
8,PHI,BUF,,,,,
8,SEA,ATL,,,,,
8,TB,TEN,,,,,
8,WSH,MIN,,,,,
9,CHI,PHI,,,,,
9,CLE,DEN,,,,,
9,DAL,NYG,,,,,
9,DET,OAK,,,,,
9,GB,LAC,,,,,
9,HOU,JAX,,,,,
9,IND,PIT,,,,,
9,MIN,KC,,,,,
9,NE,BAL,,,,,
9,NYJ,MIA,,,,,
9,SF,ARI,,,,,
9,TB,SEA,,,,,
